2023-03-10 19:01:08.759186 Epoch [009/025], Step [0253/0253], [lateral-3: 0.3640], [lateral-2: 0.3060], [lateral-1: 0.3176], [edge: 0.3346]
[Saving Snapshot:]checkpoints/BGNet/BGNet-9.pth
2023-03-10 19:01:35.646894 Epoch [010/025], Step [0060/0253], [lateral-3: 0.3479], [lateral-2: 0.2859], [lateral-1: 0.2950], [edge: 0.3179]
2023-03-10 19:02:00.863569 Epoch [010/025], Step [0120/0253], [lateral-3: 0.3471], [lateral-2: 0.2866], [lateral-1: 0.2942], [edge: 0.3214]
2023-03-10 19:02:26.075588 Epoch [010/025], Step [0180/0253], [lateral-3: 0.3467], [lateral-2: 0.2864], [lateral-1: 0.2928], [edge: 0.3216]
2023-03-10 19:02:51.313326 Epoch [010/025], Step [0240/0253], [lateral-3: 0.3478], [lateral-2: 0.2871], [lateral-1: 0.2927], [edge: 0.3218]
2023-03-10 19:02:56.575843 Epoch [010/025], Step [0253/0253], [lateral-3: 0.3478], [lateral-2: 0.2871], [lateral-1: 0.2927], [edge: 0.3216]
2023-03-10 19:03:22.822654 Epoch [011/025], Step [0060/0253], [lateral-3: 0.3339], [lateral-2: 0.2710], [lateral-1: 0.2740], [edge: 0.3104]
2023-03-10 19:03:48.017755 Epoch [011/025], Step [0120/0253], [lateral-3: 0.3376], [lateral-2: 0.2738], [lateral-1: 0.2759], [edge: 0.3104]
2023-03-10 19:04:13.163737 Epoch [011/025], Step [0180/0253], [lateral-3: 0.3349], [lateral-2: 0.2723], [lateral-1: 0.2741], [edge: 0.3111]
2023-03-10 19:04:38.312197 Epoch [011/025], Step [0240/0253], [lateral-3: 0.3361], [lateral-2: 0.2736], [lateral-1: 0.2748], [edge: 0.3117]
2023-03-10 19:04:43.597000 Epoch [011/025], Step [0253/0253], [lateral-3: 0.3360], [lateral-2: 0.2736], [lateral-1: 0.2747], [edge: 0.3119]
2023-03-10 19:05:09.823306 Epoch [012/025], Step [0060/0253], [lateral-3: 0.3336], [lateral-2: 0.2677], [lateral-1: 0.2650], [edge: 0.3076]
2023-03-10 19:05:34.921622 Epoch [012/025], Step [0120/0253], [lateral-3: 0.3322], [lateral-2: 0.2669], [lateral-1: 0.2649], [edge: 0.3083]
2023-03-10 19:06:00.103295 Epoch [012/025], Step [0180/0253], [lateral-3: 0.3313], [lateral-2: 0.2668], [lateral-1: 0.2646], [edge: 0.3084]
2023-03-10 19:06:25.368994 Epoch [012/025], Step [0240/0253], [lateral-3: 0.3323], [lateral-2: 0.2675], [lateral-1: 0.2646], [edge: 0.3086]
2023-03-10 19:06:30.613135 Epoch [012/025], Step [0253/0253], [lateral-3: 0.3310], [lateral-2: 0.2664], [lateral-1: 0.2636], [edge: 0.3079]
2023-03-10 19:06:57.128374 Epoch [013/025], Step [0060/0253], [lateral-3: 0.3231], [lateral-2: 0.2573], [lateral-1: 0.2524], [edge: 0.3003]
2023-03-10 19:07:22.374112 Epoch [013/025], Step [0120/0253], [lateral-3: 0.3213], [lateral-2: 0.2559], [lateral-1: 0.2503], [edge: 0.2995]
